no,name,latin_name,description,label_name
1,wereng batang cokelat,Nilaparvata lugens,"Wereng biasanya berkumpul di pangkal batang dan mengisap cairan tanaman. Serangan berat membuat rumpun menguning, cokelat, lalu kering seperti terbakar (hopperburn).",wereng_batang_cokelat
2,walang sangit,Leptocorisa oratorius,"Walang sangit terutama menyerang saat padi berbunga sampai bulir mengisi. Hama ini mengisap bulir sehingga gabah dapat kecil, bercak, berubah bentuk, atau hampa.",walang_sangit
3,penggerek batang,Scirpophaga incertulas,"Larva masuk dan makan di dalam batang. Pada fase vegetatif dapat muncul sundep, sedangkan pada fase generatif dapat muncul malai putih dan hampa yang disebut beluk.",penggerek_batang
